BEHIPA_ID;BEZEICHNUNG;BEMERKUNG;ANZAHL;POLIZEI;STANDORT;PLZ;ORTSTEIL;GPS_LAT;GPS_LON;LETZTE_AENDERUNG;GPS_KOORDINATEN;KATEGORIE;LINK
2077;4 Behindertenparkplätze;Mo-Fr 7-18h;4;51;Pettenkofer Straße 1;10247;Friedrichshain;52.51440394;13.47347919;18.09.2020;52.51440394, 13.47347919;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2078;1 Behindertenparkplatz;Mo-Fr 9-18h, Sa 9-14h;1;51;Proskauer Straße 1;10247;Friedrichshain;52.51546492;13.46042803;18.09.2020;52.51546492, 13.46042803;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2079;1 Behindertenparkplatz;Mo-Fr 9-18h, Sa 9-14h;1;51;Proskauer Straße 17 A;10247;Friedrichshain;52.51903869;13.46220850;18.09.2020;52.51903869, 13.46220850;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2080;1 Behindertenparkplatz;Mo-Fr 9-18h;1;51;Proskauer Straße 30;10247;Friedrichshain;52.51696439;13.46091168;18.09.2020;52.51696439, 13.46091168;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2081;1 Behindertenparkplatz;Mo-So 9-21h;1;51;Pufendorfstraße 11;10249;Friedrichshain;52.52123463;13.43749204;18.09.2020;52.52123463, 13.43749204;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2082;2 Behindertenparkplätze;Mo-Fr 7.30-18h;2;53;Puttkamer Straße 16;10969;Kreuzberg;52.50447921;13.38939715;18.09.2020;52.50447921, 13.38939715;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2083;1 Behindertenparkplatz;Durchgehend;1;53;Reichenberger Straße 130;10999;Kreuzberg;52.49574007;13.42984019;18.09.2020;52.49574007, 13.42984019;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2084;2 Behindertenparkplätze;Mo-Fr 8-19h, Sa 8-16h;2;51;Revaler Straße 1 - 2;10243;Friedrichshain;52.50862085;13.44999689;18.09.2020;52.50862085, 13.44999689;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2085;1 Behindertenparkplatz;Sonn- u. Feiertags 10-13h;1;51;Richard-Sorge-Straße 14-15;10249;Friedrichshain;52.51889086;13.44846539;18.09.2020;52.51889086, 13.44846539;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2086;1 Behindertenparkplatz;Mo-Fr 8.30-18h, Sa 9-11h;1;51;Rigaer Straße 27;10247;Friedrichshain;52.51678667;13.46263994;18.09.2020;52.51678667, 13.46263994;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2087;1 Behindertenparkplatz;Mo-Fr 8-18h + Zusatz Parkscheibe 2h;1;53;Ritterstraße 3;10969;Kreuzberg;52.50074632;13.41280531;18.09.2020;52.50074632, 13.41280531;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2088;1 Behindertenparkplatz;Mo-Fr 8-18h;1;53;Rudi-Dutschke-Straße 1;10969;Kreuzberg;52.50706538;13.39689895;18.09.2020;52.50706538, 13.39689895;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2089;1 Behindertenparkplatz;Mo-Fr 6-18h;1;51;Rudolfstraße 9-10;10245;Friedrichshain;52.50428731;13.45298361;18.09.2020;52.50428731, 13.45298361;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
